correct_answer;difficult_level;id;if_correct;if_wrong;question;response_type;tags;wrong_answer
Suicida;30;;;;"<img src=""http://upload.wikimedia.org/wikipedia/commons/1/12/Rudolf_Kronprinz_1881.jpg"" width=""400"" alt=""Rodolfo""> <br>Come è morto Rodolfo erede al trono e Figlio di Francesco Giuseppe e Elisabetta di Baviera?";options;;"Di infarto a 33 anni|Di vecchiaia dopo essere stato diseredato dal padre|Ucciso durante un tentativo di complotto fallito|A causa di una caduta da cavallo durante una battuta di caccia"
"Verso il basso";20;;;;"Com’è diretta la forza agente su di una palla da tennis lanciata in aria, subito dopo essere stata lanciata?";options;;"Verso l’alto|Non ci sono forze agenti, in quanto la palla è già stata lanciata|Ci sono forze agenti ma la risultante è nulla|Ci sono forze agenti ma la risultante è verso l’alto"
"Edgar Lee Masters";40;;;;"Chi ha scritto l'<i>Antologia di Spoon River</i>?";;;"Carl Sandburg|Mark Twain|Edgar Allan Poe|Edwin Arlington Robinson"
Virgilio;10;;;;"Chi accompagna Dante nell'viaggio all'Inferno descritto nella <i>Divina Commedia</i>?";;;"Beatrice|Santa Chiara|Plutarco|Cesare"
"Tra il 1254 e il 1324";30;;;;"Quando è vissuto Marco Polo?";Options_4;;"Tra il 1054 e il 1124|Tra il 1454 e il 1424|Tra il 1554 e il 1624"
"Rustichello da Pisa";30;;;;"Oltre a Marco Polo, chi è considerato l'autore de <i>Il Milione</i>?";Options_4;;"Matteo Polo (zio di Marco)|Brunetto Latini|Fra Mauro, che oltre a redarre <i>Il Milione</i> realizzò anche una mappa dell'Asia"
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
